PT,S1 XCoordinate Die:Col_X,S1 YCoordinate Die:Row_Y,OCD_METAL_LINE_MID_BOX04 DF
Point 1,-2,0,95.8424
Point 2,-2,3,99.6048
Point 3,6,0,97.7349
Point 4,-2,-3,100.112
Point 5,6,3,98.8989
Point 6,6,-3,100.646
Point 7,-10,0,99.2271
Point 8,-2,6,99.7465
Point 9,-10,3,101.373
Point 10,6,6,99.3154
Point 11,-10,-3,99.1217
Point 12,-2,-6,101.137
Point 13,6,-6,100.5
Point 14,14,0,100.58
Point 15,-10,6,98.1331
Point 16,14,3,98.3646
Point 17,14,-3,99.342
Point 18,-10,-6,98.9569
Point 19,-2,9,98.7813
Point 20,6,9,98.3275
Point 21,14,6,100.402
Point 22,-2,-9,99.945
Point 23,-18,0,98.9078
Point 24,14,-6,99.6981
Point 25,-18,3,99.5322
Point 26,6,-9,100.818
Point 27,-10,9,97.7609
Point 28,-18,-3,98.4776
Point 29,-10,-9,98.2945
Point 30,-18,6,97.6145
Point 31,14,9,97.1736
Point 32,-2,12,97.6466
Point 33,-18,-6,97.9866
Point 34,22,0,97.8772
Point 35,6,12,97.7366
Point 36,22,3,97.6322
Point 37,14,-9,99.4458
Point 38,22,-3,98.8229
Point 39,-2,-12,100.008
Point 40,-10,12,98.258
Point 41,-18,9,98.7335
Point 42,6,-12,100.036
Point 43,22,6,96.9737
Point 44,22,-6,101.165
Point 45,-18,-9,99.3959
Point 46,-10,-12,99.6506
Point 47,14,12,100.388
Point 48,-26,0,102.168
Point 49,-26,3,102.449
Point 50,-26,-3,104.387
Point 51,22,9,100.216
Point 52,14,-12,106.471
Point 53,-2,15,101.606
Point 54,6,15,102.043
Point 55,-26,6,103.793
Point 56,-18,12,104.583
Point 57,22,-9,106.314
Point 58,-26,-6,106.726
Point 59,-10,15,104.29
Point 60,-2,-15,107.543
Point 61,-18,-12,106.481
Point 62,6,-15,109.826
Point 63,30,0,103.923
Point 64,-26,9,106.35
Point 65,14,15,103.979
Point 66,30,-3,105.243
Point 67,-10,-15,109.067
Point 68,22,12,103.684
Point 69,-26,-9,108.673
Point 70,30,6,104.35
Point 71,22,-12,111.915
Point 72,-29,8,110.103
Point 73,14,-15,114.249
Point 74,-18,15,110.375
Point 75,-21,14,112.133
Point 76,-2,18,111.129
Point 77,6,18,110.782
Point 78,33,4,106.614
Point 79,-26,12,116.266
Point 80,30,9,106.58
Point 81,-34,0,115.421
Point 82,-18,-15,116.481
Point 83,-34,3,117.476
Point 84,-10,18,116.619
Point 85,33,-5,109.825
Point 86,-34,-3,118.022
Point 87,-31,-8,118.007
Point 88,-2,-18,118.655
Point 89,30,-9,114.372
Point 90,22,15,114.083
Point 91,-26,-12,118.112
Point 92,35,2,110.195
Point 93,6,-18,120.751
Point 94,-34,6,123.383
Point 95,-23,-14,123.007
Point 96,-34,-6,133.849
Point 97,-15,-17,130.169
Point 98,-10,-18,131.831
